exoplanet,mass
Kepler-39 b,6388.345
Kepler-57 b,5994.239
Kepler-53 b,5851
Kepler-53 c,5002.615
Kepler-27 c,4386
Kepler-52 c,3309
Kepler-75 b,3210.064
KOI-13 b,2949.445
Kepler-27 b,2895
Kepler-52 b,2765
Kepler-14 b,2670
Kepler-419 c,2320.145
Kepler-57 c,2208.906
Kepler-31 d,2161.231
TOI-559 b,1910
Kepler-46 b,1906.969
Kepler-432 b,1719.45
Kepler-31 c,1494
Kepler-32 b,1303
MOA-bin-1L b,1176
TOI-558 b,1147
Kepler-43 b,1027
Kepler-433 b,896
Kepler-23 c,858.136
Kepler-419 b,794.57
Qatar-2 b,792.663
Kepler-17 b,779
Kepler-539 c,763
Kepler-40 b,699
Kepler-58 c,696
Kepler-5 b,670.935
Kepler-48 e,656.951
Kepler-59 b,651.548
Kepler-30 c,639
Kepler-76 b,638.835
Kepler-117 c,584.804
Kepler-24 b,509
Kepler-24 c,509
Kepler-28 b,480
Kepler-55 b,473.564
KOI-1257 b,461
Kepler-391 c,450
K2-22 b,445
Kepler-58 b,442
Kepler-59 c,435.425
Kepler-447 b,435.425
OGLE-2018-BLG-0962,435
Kepler-28 c,432
Kepler-428 b,404
WASP-85 A b,402.053
WASP-47 b,363.096
Kepler-55 c,352.789
Kepler-418 b,350
WASP-75 b,340
Kepler-424 b,327.363
Kepler-87 b,324
Kepler-44 b,317.828
Kepler-49 b,311.472
Kepler-539 b,308
Kepler-412 b,299.076
Kepler-54 b,292.402
Kepler-435 b,267
HATS-9 b,266.5
Kepler-91 b,257.441
Kepler-23 b,254.263
K2-290 c,246
Kepler-49 c,228.836
KOI-142 c,214.216
Kepler-6 b,212.309
Kepler-15 b,210
Kepler-74 b,200.232
WASP-55 b,193.875
Kepler-423 b,189.108
Kepler-8 b,187.519
Kepler-56 c,181.162
Kepler-41 b,177.984
Kepler-238 e,169.72
Kepler-45 b,160.5
Kepler-32 c,159
Kepler-7 b,140.162
Kepler-12 b,137.302
Kepler-77 b,137
Kepler-422 b,136.666
Kepler-289 c,133.488
Kepler-63 b,120.139
Kepler-46 c,119.503
Kepler-54 c,117.596
Kepler-426 b,108.062
KOI-94 d,106.155
OGLE-2018-BLG-0567L b,102
Kepler-427 b,92.17
Kepler-277 b,87.403
Kepler-145 c,79.457
Kepler-425 b,79.457
Kepler-396 b,75.643
Kepler-25 d,71.829
Kepler-92 b,64.201
Kepler-277 c,64.201
Kepler-282 d,61.023
Kepler-282 e,56.256
Kepler-278 b,56
Kepler-101 b,50.853
Kepler-279 c,49.263
Kepler-9 b,43.399
Kepler-328 c,39.411
Kepler-279 d,37.504
Kepler-145 b,37.186
Kepler-22 b,35.915
Kepler-62 e,35.9
Kepler-50 c,35
Kepler-62 f,35
KOI-94 e,34.961
Kepler-278 c,34.9
Kepler-50 b,32
Kepler-338 b,30.61
Kepler-9 c,29.901
Kepler-117 b,29.876
Kepler-328 b,28.605
EPIC 211945201 b,27
Kepler-411 b,25.601
Kepler-11 g,25.108
Kepler-4 b,24.5
Kepler-30 d,23.2
Kepler-56 b,22
TOI-216 b,18.8
Kepler-85 c,18.8
Kepler-396 c,17.798
Kepler-23 d,17.5
Kepler-18 c,17.2
Kepler-276 c,16.527
Kepler-18 d,16.5
Kepler-276 d,16.209
KOI-94 c,15.6
Kepler-25 c,15.224
Kepler-66 b,15
Kepler-67 b,15
Kepler-350 d,14.938
Kepler-85 b,14.78
Kepler-177 c,14.7
Kepler-48 c,14.611
Kepler-20 f,14.3
Kepler-62 d,14
Kepler-82 c,13.899
Kepler-238 f,13.349
Kepler-19 c,13.101
Kepler-20 c,12.751
Kepler-37 d,12.201
Kepler-82 b,12.151
Kepler-37 c,12.001
Kepler-30 b,11.4
K2-290 b,10.902
Kepler-79 b,10.902
KOI-94 b,10.5
Kepler-305 b,10.488
Kepler-20 d,10.069
Kepler-20 b,9.7
Kepler-62 b,9.535
KOI-142 b,9.535
Kepler-107 c,9.389
EPIC 212737443 b,9.24
Kepler-102 e,8.899
Kepler-25 b,8.74
Kepler-107 e,8.6
Kepler-445 c,8.6
Kepler-19 b,8.4
Kepler-223 d,8
Kepler-11 e,7.946
Kepler-48 d,7.9
HD 5278,7.8
TOI-178 f,7.72
Kepler-68 b,7.65
Kepler-51 d,7.628
Kepler-146 c,7.49
Kepler-307 b,7.44
Kepler-223 b,7.399
Kepler-10 c,7.37
Kepler-11 d,7.31
Kepler-289 b,7.31
Kepler-36 c,7.129
Kepler-18 b,7
Kepler-114 b,7
Kepler-80 b,6.93
Kepler-80 d,6.751
Kepler-80 c,6.741
K2-3 b,6.481
Kepler-87 c,6.357
Kepler-26 c,6.201
KMT-2018-BLG-125L b,6.059
Kepler-92 c,6.039
Kepler-305 c,6.039
Kepler-350 c,6.039
Kepler-79 c,6.039
Kepler-79 d,6.039
Kepler-445 b,6
Kepler-177 b,5.839
Kepler-146 b,5.77
Kepler-197 c,5.4
Kepler-9 d,5.249969167
Kepler-26 b,5.12
Kepler-223 c,5.101
Kepler-21 b,5.079
Kepler-29 b,4.999
Kepler-223 e,4.799
TOI-178 c,4.77
Kepler-10 b,4.609
Kepler-105 c,4.599
Kepler-93 b,4.545
Kepler-29 c,4.5
Kepler-446 b,4.4
HD 219134 b,4.27
Kepler-60 b,4.189
Kepler-60 d,4.16
Kepler-51 c,4.132
Kepler-62 c,4.132
Kepler-79 e,4.132
Kepler-80 e,4.129
HD 219134 c,3.96
TOI-178 g,3.94
Kepler-48 b,3.94
TOI-178 e,3.86
Kepler-60 c,3.849
Kepler-36 b,3.83
Kepler-114 d,3.814
Kepler-102 d,3.814
Kepler-107 d,3.801
Kepler-307 c,3.639
Kepler-107 b,3.509
Kepler-445 d,3.5
Kepler-37 b,3.178
Kepler-101 c,3.178
Kepler-20 e,3.08
TOI-178 d,3.01
Kepler-446 d,3
Kepler-42 b,2.9
Kepler-446 c,2.9
Kepler-11 c,2.86
Kepler-114 c,2.86
K2-3 d,2.8
Kepler-51 b,2.225
K2-3 c,2.139
Kepler-68 c,2.04
Kepler-138 c,1.971
Kepler-78 b,1.967
Kepler-11 b,1.907
Kepler-11 f,1.907
Kepler-42 c,1.9
TOI-178 b,1.5
Kepler-42 d,1
Kepler-128 c,0.899
Kepler-128 b,0.769
KOI-55 c,0.67
Kepler-138 d,0.639
TOI-216 c,0.56
KOI-55 b,0.445
Kepler-1520 b,0.02
